,batting_team,bowling_team,city,current_score,balls_left,wickets_left,current_run_rate,last_five_over_runs,final_score
46556,Sri Lanka,West Indies,Barbados,74,68,9,8.538461538461538,51.0,195
32426,Bangladesh,Sri Lanka,Colombo,129,21,5,7.818181818181818,45.0,155
37508,New Zealand,Australia,Auckland,140,6,2,7.368421052631579,29.0,150
41413,Pakistan,India,Kolkata,24,90,10,4.8,24.0,118
27126,Sri Lanka,India,Mirpur,76,41,6,5.772151898734177,36.0,138
21046,Afghanistan,India,St Lucia,110,3,3,5.641025641025641,30.0,115
17075,Australia,England,Manchester,73,47,7,6.0,24.0,145
14392,India,Bangladesh,Bangalore,67,56,8,6.28125,26.0,146
45384,Pakistan,Australia,St Lucia,121,27,7,7.806451612903226,33.0,191
16256,Australia,South Africa,Melbourne,181,2,2,9.203389830508474,37.0,182
20841,Australia,Sri Lanka,Barbados,33,84,6,5.5,29.0,168
22473,Australia,Sri Lanka,Adelaide,81,69,10,9.529411764705882,51.0,233
33636,New Zealand,England,Manchester,67,55,6,6.184615384615385,34.0,123
31921,South Africa,Pakistan,Dubai,118,27,8,7.612903225806452,49.0,150
9956,India,Bangladesh,Nottingham,112,31,8,7.550561797752809,37.0,180
35596,Pakistan,Bangladesh,Mirpur,68,69,9,8.0,26.0,190
34219,Sri Lanka,Australia,Melbourne,36,87,8,6.545454545454546,34.0,142
28582,Australia,New Zealand,Sydney,49,81,8,7.538461538461538,39.0,150
16959,Sri Lanka,Bangladesh,Chittagong,117,38,5,8.560975609756097,35.0,168
21600,Sri Lanka,England,Pallekele,59,69,9,6.9411764705882355,28.0,169
6043,New Zealand,England,Christchurch,148,5,6,7.721739130434782,51.0,153
22952,Bangladesh,Australia,Cape Town,31,84,10,5.166666666666667,29.0,123
4712,South Africa,Sri Lanka,Cape Town,37,89,9,7.161290322580645,36.0,169
2706,India,Australia,Melbourne,49,85,10,8.4,44.0,184
38794,Sri Lanka,England,Chittagong,97,43,9,7.558441558441558,40.0,189
48962,Australia,England,Sydney,139,24,4,8.6875,41.0,195
42649,New Zealand,India,Auckland,45,81,7,6.923076923076923,41.0,158
7486,Pakistan,England,Cardiff,55,36,5,3.9285714285714284,20.0,89
26340,West Indies,Pakistan,St Lucia,59,75,9,7.866666666666666,44.0,150
25388,West Indies,New Zealand,Lauderhill,63,72,9,7.875,41.0,177
817,Pakistan,New Zealand,Dubai,88,44,9,6.947368421052632,45.0,166
33310,Bangladesh,India,Colombo,120,13,4,6.728971962616822,27.0,139
7819,India,New Zealand,Delhi,80,60,10,8.0,41.0,202
27005,South Africa,Pakistan,Johannesburg,107,34,8,7.465116279069767,47.0,188
12700,New Zealand,England,Delhi,136,18,6,8.0,36.0,153
23163,Australia,South Africa,Johannesburg,126,7,3,6.6902654867256635,39.0,147
359,India,England,Bangalore,177,12,7,9.833333333333334,58.0,202
50480,Sri Lanka,Pakistan,Dubai,196,7,8,10.4070796460177,61.0,211
41589,Pakistan,England,Manchester,143,27,8,9.225806451612904,45.0,195
16005,Afghanistan,West Indies,Nagpur,105,10,3,5.7272727272727275,40.0,123
43069,New Zealand,Pakistan,Wellington,122,40,6,9.15,52.0,196
37942,Pakistan,England,Cardiff,51,72,8,6.375,30.0,126
2273,England,Pakistan,Dubai,127,20,5,7.62,35.0,150
27266,Sri Lanka,Bangladesh,Colombo,152,28,6,9.91304347826087,42.0,214
36004,Australia,India,Melbourne,75,40,4,5.625,25.0,132
43785,India,England,Nagpur,56,73,8,7.148936170212766,41.0,144
39766,Australia,India,Sydney,93,53,8,8.328358208955224,39.0,186
50802,Pakistan,New Zealand,Auckland,49,57,5,4.666666666666667,20.0,153
3707,New Zealand,Sri Lanka,Colombo,127,11,4,6.990825688073395,36.0,141
40986,New Zealand,Pakistan,Barbados,103,24,5,6.4375,32.0,133
32657,Sri Lanka,Pakistan,Dubai,84,38,6,6.146341463414634,27.0,145
9065,Australia,West Indies,Mirpur,101,49,5,8.535211267605634,57.0,178
26709,New Zealand,South Africa,Hamilton,50,81,9,7.6923076923076925,38.0,173
11172,Sri Lanka,Pakistan,London,83,63,9,8.736842105263158,32.0,150
6020,New Zealand,England,Christchurch,107,28,6,6.978260869565218,34.0,153
26665,Sri Lanka,Pakistan,Abu Dhabi,141,5,2,7.356521739130435,30.0,141
27986,England,New Zealand,Christchurch,89,54,6,8.090909090909092,22.0,193
18833,India,Australia,Mirpur,158,1,4,7.966386554621849,54.0,159
14317,England,South Africa,Johannesburg,161,11,3,8.862385321100918,53.0,171
36864,Pakistan,New Zealand,Dubai,102,42,6,7.846153846153846,46.0,161
27101,Sri Lanka,India,Mirpur,42,65,7,4.581818181818182,26.0,138
25385,West Indies,New Zealand,Lauderhill,52,75,9,6.933333333333334,30.0,177
8439,Sri Lanka,England,Southampton,83,51,5,7.217391304347826,29.0,140
32414,Bangladesh,Sri Lanka,Colombo,108,31,5,7.280898876404494,33.0,155
